roi,r0,std_gt,std_rec,slope,intercept,R2,NRMSE,best_lag_TR,r_at_best_lag
0,0.20403637729503327,1.0,0.481269508600235,0.4239545166492462,0.059659842401742935,0.04163080453872681,0.978963315486908,-3,0.26518919044908495
1,0.4750683563463718,1.0,0.37014585733413696,1.2834625244140625,-0.5168923139572144,0.22569000720977783,0.8799489140510559,2,0.48482093389553743
2,0.16612209001495679,1.0,0.5773535370826721,0.28773027658462524,0.043649833649396896,0.02759653329849243,0.98610520362854,2,0.2068155011437489
3,0.06992954909353936,1.0,0.4180372953414917,0.1672806590795517,0.034411583095788956,0.004890084266662598,0.9975519776344299,2,0.10189592289429414
4,0.22429198661971492,1.0,0.40439438819885254,0.5546367168426514,0.18714533746242523,0.050306856632232666,0.9745219945907593,0,0.22429198661971492
5,0.22701925600793796,1.0,0.4439653158187866,0.5113445520401001,0.03045131452381611,0.05153775215148926,0.9738902449607849,-1,0.25973639463067894
6,-0.41018634171733986,1.0,0.49706074595451355,-0.8252238035202026,0.5095507502555847,0.16825294494628906,0.9120016694068909,2,-0.37686606294458835
7,-0.23121993965272694,1.0,0.5191277861595154,-0.44540080428123474,-0.18494519591331482,0.0534626841545105,0.9729015231132507,3,-0.1516776525138131
8,-0.08576562545689141,0.9999999403953552,0.5222746133804321,-0.1642155647277832,-0.05297086015343666,0.007355749607086182,0.9963153600692749,1,-0.07534734034164964
9,-0.39363372089072446,1.0,0.17904704809188843,-2.198493003845215,-0.330390065908432,0.15494763851165771,0.9192672967910767,-2,-0.36113636336312405
10,0.011991224846261144,1.0,0.20518891513347626,0.05843993276357651,-0.00020507223962340504,0.0001437067985534668,0.9999281167984009,0,0.011991224846261144
11,0.15681470970685904,0.9999999403953552,0.25874093174934387,0.6060684323310852,0.22781424224376678,0.024590790271759033,0.9876280426979065,-3,0.1837423875564696
12,0.06272469705086002,1.0,0.5375112891197205,0.11669465899467468,0.04755159467458725,0.00393444299697876,0.9980308413505554,3,0.09233973035086317
13,-0.32215610935449707,0.9999999403953552,0.3269515633583069,-0.9853328466415405,0.16129697859287262,0.10378444194793701,0.9466866254806519,1,-0.2559114648607759
14,0.2500147103602792,1.0,0.5842760801315308,0.42790505290031433,-0.028154216706752777,0.06250733137130737,0.9682420492172241,3,0.3619755722525674
15,0.034139732993038914,1.0,0.4627518355846405,0.07377546280622482,0.014947030693292618,0.0011655688285827637,0.9994170665740967,0,0.034139732993038914
16,0.0010415571568625145,1.0,0.5650633573532104,0.0018432573415338993,0.0002529072808101773,1.0728836059570312e-06,0.999999463558197,-3,0.07341293648517697
17,0.1328383852199191,0.9999999403953552,0.5225467681884766,0.2542133927345276,-0.15622705221176147,0.01764589548110962,0.9911378026008606,-3,0.18385807329545184
18,-0.08518142180831434,1.0,0.3954697847366333,-0.21539299190044403,0.06678690761327744,0.007255852222442627,0.996365487575531,-1,-3.615910252899718e-05
