roi,r0,std_gt,std_rec,slope,intercept,R2,NRMSE,best_lag_TR,r_at_best_lag
0,-0.24828879587198444,1.0,0.3779545724391937,-0.6569275856018066,-0.023119689896702766,0.06164729595184326,0.968686044216156,3,-0.12729543514673144
1,-0.13624202480975295,1.0,0.3634556233882904,-0.37485191226005554,-0.011653328314423561,0.018561959266662598,0.9906755685806274,2,0.026143290382141016
2,-0.05999959932431329,1.0,0.3093497157096863,-0.19395393133163452,-0.013560321182012558,0.0036001205444335938,0.9981983304023743,-1,0.0948544326919786
3,-0.13100896243733087,1.0,0.3711654245853424,-0.3529664874076843,-0.01263447292149067,0.017163395881652832,0.9913811683654785,3,-0.05885664179925
4,-0.20512924981169722,1.0,0.20514973998069763,-0.9999001026153564,-0.06129362806677818,0.04207801818847656,0.9787349700927734,2,-0.01723432668389732
5,-0.10218267093646524,0.9999999403953552,0.10191362351179123,-1.002639889717102,-0.02253209426999092,0.010441184043884277,0.9947656989097595,3,0.23026495756960935
6,-0.1068543513202398,1.0,0.07282175868749619,-1.4673409461975098,-0.022973084822297096,0.011417746543884277,0.9942747354507446,1,0.0918414067815126
7,0.47165320129795935,1.0,0.40795937180519104,1.1561279296875,0.06529556959867477,0.22245681285858154,0.8817841410636902,1,0.4965860066032618
8,0.3641472633541316,1.0,0.2914208471775055,1.2495579719543457,0.0961310938000679,0.13260334730148315,0.9313413500785828,3,0.5594721616121544
9,-0.06390552806556271,0.9999999403953552,0.1927352100610733,-0.33157163858413696,-0.010029398836195469,0.004083752632141113,0.9979560375213623,2,0.15709833799655792
10,-0.25812639424655154,1.0,0.14422562718391418,-1.7897400856018066,-0.07661427557468414,0.06662929058074951,0.9661111235618591,2,0.0404682331478146
11,-0.27357534989420074,1.0,0.07971447706222534,-3.431940793991089,-0.24034330248832703,0.07484328746795654,0.961850643157959,-2,-0.2170692630264879
12,-0.12003488794513605,1.0,0.04482502117753029,-2.677854537963867,-0.22423259913921356,0.014408409595489502,0.992769718170166,2,0.09313917764739622
13,0.003454743467966301,1.0,0.06676072627305984,0.05174814537167549,-0.002522253431379795,1.1801719665527344e-05,0.9999940991401672,3,0.2709139768451042
14,0.11292680648226351,1.0,0.4633670747280121,0.24370917677879333,0.0037017681170254946,0.012752532958984375,0.9936032891273499,-1,0.17245162522784516
15,-0.4875606941162425,1.0,0.17587332427501678,-2.772226572036743,-0.08558955788612366,0.237715482711792,0.873089075088501,-3,-0.37917359830429714
16,-0.5912775150184012,0.9999999403953552,0.1810111105442047,-3.266526222229004,-0.14543014764785767,0.34960901737213135,0.8064682483673096,-1,-0.4247496594753665
17,0.23335323225932297,1.0,0.02779623679816723,8.395137786865234,0.010994778014719486,0.05445367097854614,0.9723920822143555,-1,0.2973978053097245
18,-0.048912013495929885,1.0,0.08004329353570938,-0.6110694408416748,-0.030249131843447685,0.002392411231994629,0.9988030791282654,2,-0.03217310372492534
19,0.29613494733934353,1.0,0.05272740125656128,5.61633825302124,0.20313741266727448,0.0876958966255188,0.9551461338996887,2,0.3195693905779592
20,0.2986506151780037,1.0,0.10725569725036621,2.784473180770874,0.10094809532165527,0.08919209241867065,0.9543625712394714,-3,0.478063578632449
21,0.1663640068883182,0.9999999403953552,0.043028175830841064,3.866396903991699,-0.015666712075471878,0.027677059173583984,0.9860643744468689,3,0.4004976077296657
22,-0.08368355394353023,1.0,0.29328423738479614,-0.2853326201438904,-0.012609198689460754,0.0070029497146606445,0.9964924454689026,3,-0.04026102072343307
23,0.10081825263278822,1.0,0.08833059668540955,1.141374111175537,0.024606747552752495,0.010164380073547363,0.9949048757553101,3,0.2750971320849133
24,-0.31116858333537956,0.9999999403953552,0.17075543105602264,-1.8223055601119995,-0.22135409712791443,0.09682577848434448,0.9503547549247742,3,-0.11625988833553004
