roi,r0,std_gt,std_rec,slope,intercept,R2,NRMSE,best_lag_TR,r_at_best_lag
0,0.6136905490654382,1.0,0.8392989635467529,0.731194257736206,0.22662994265556335,0.37661606073379517,0.7895466685295105,1,0.6212506988150694
1,0.5198933230810184,1.0,0.5292469263076782,0.9823266863822937,0.22329366207122803,0.2702890634536743,0.8542312383651733,0,0.5198933230810184
2,0.3828978866764572,1.0,0.6582596302032471,0.5816822052001953,0.07383637875318527,0.14661073684692383,0.923790693283081,-3,0.39727797406842846
3,0.6600060721641756,1.0,0.8232819437980652,0.801676869392395,0.215348482131958,0.43560802936553955,0.7512602806091309,0,0.6600060721641756
4,-0.10702248400420361,1.0,0.754803478717804,-0.1417885422706604,-0.021894577890634537,0.011453807353973389,0.9942566156387329,3,-0.028368998670320212
5,-0.13825921804623212,1.0,0.6914283633232117,-0.19996173679828644,-0.028456322848796844,0.019115686416625977,0.9903960227966309,2,-0.09896954394504426
6,-0.26209889730434105,1.0,0.4987214207649231,-0.5255416631698608,0.06992574781179428,0.06869590282440186,0.9650409817695618,-1,-0.2529897362013255
7,0.4973975898476958,1.0,0.7896777391433716,0.6298741698265076,0.17243631184101105,0.24740439653396606,0.867522656917572,3,0.5111563313819633
8,0.024370166136885113,0.9999999403953552,0.7061019539833069,0.03451366350054741,0.00455063208937645,0.0005939006805419922,0.9997029900550842,3,0.15317466753076608
9,0.2718729274182797,1.0,0.47508907318115234,0.5722567439079285,-0.05899062752723694,0.07391494512557983,0.9623331427574158,3,0.3360597345326138
10,0.2638693978048661,1.0,0.4445333182811737,0.5935875177383423,0.020332150161266327,0.06962704658508301,0.9645584225654602,0,0.2638693978048661
11,-0.027857229067937177,0.9999999403953552,0.46187201142311096,-0.060313738882541656,0.016861431300640106,0.0007759332656860352,0.9996119737625122,-3,0.08202105050845203
12,-0.19723127126659928,1.0,0.6300652623176575,-0.3130331039428711,0.005156741943210363,0.03890019655227661,0.9803569912910461,-3,-0.1456651219243741
13,0.028121608586537165,0.9999999403953552,0.5916588306427002,0.04753010720014572,0.00438065966591239,0.0007907748222351074,0.9996045827865601,-1,0.0862424777200683
14,0.5521268091316203,1.0,0.7685497403144836,0.718400776386261,0.13778039813041687,0.30484408140182495,0.8337600827217102,1,0.5638704820103481
15,0.23013290839562153,1.0,0.5406301021575928,0.4256753623485565,0.05931656435132027,0.05296117067337036,0.9731591939926147,-1,0.25645842942727337
16,-0.31744526026926195,1.0,0.651587188243866,-0.4871877133846283,-0.05683988705277443,0.10077154636383057,0.9482765793800354,-2,-0.22836003355081302
