roi,r0,std_gt,std_rec,slope,intercept,R2,NRMSE,best_lag_TR,r_at_best_lag
0,0.4298154672239119,1.0,0.5404731631278992,0.7952578067779541,0.05833687633275986,0.18474137783050537,0.9029167294502258,-2,0.4759337362402664
1,0.48303351860910226,1.0,0.40023377537727356,1.206878423690796,0.05799100920557976,0.2333214282989502,0.8756018877029419,-3,0.5240934082122526
2,0.4413874799671349,1.0,0.44631126523017883,0.9889678955078125,0.07445754110813141,0.19482284784317017,0.8973166346549988,-2,0.45879223026216787
3,0.49455582657115044,1.0,0.528471827507019,0.9358225464820862,0.05923806130886078,0.24458545446395874,0.8691458702087402,-2,0.539625652839985
4,0.04193175744357973,1.0,0.4687942564487457,0.08944597095251083,0.005966104567050934,0.001758277416229248,0.9991204738616943,-2,0.06832737297740278
5,0.12011539213071032,1.0,0.3813822269439697,0.3149475157260895,0.03790703043341637,0.01442784070968628,0.9927598834037781,1,0.1356026391407556
6,-0.026907098887602062,1.0,0.24118463695049286,-0.11156224459409714,0.004125088918954134,0.0007239580154418945,0.9996379613876343,1,-0.01835989984928957
7,0.400870321026896,1.0,0.4964008629322052,0.8075535893440247,0.07416585087776184,0.16069704294204712,0.916134774684906,-2,0.44201967683348725
8,-0.03315819798944235,0.9999999403953552,0.507203996181488,-0.0653744786977768,-0.0015150856925174594,0.0010995268821716309,0.9994500875473022,-2,-0.028778849853778543
9,0.3186382896206068,1.0,0.3148147761821747,1.0121452808380127,0.08678251504898071,0.10153037309646606,0.9478763937950134,-2,0.33387116333498484
10,0.10539721382788463,1.0,0.2676432728767395,0.3937973976135254,0.0022221195977181196,0.01110851764678955,0.9944302439689636,-3,0.142034579583245
11,-0.14962530265681442,0.9999999403953552,0.34646791219711304,-0.43185901641845703,-0.03680192306637764,0.022387683391571045,0.9887427687644958,2,-0.12957329393381314
12,-0.07309225837209102,1.0,0.3577413856983185,-0.2043159157037735,-0.02315709739923477,0.005342364311218262,0.9973252415657043,-2,-0.012275804989437264
13,-0.0028908015459501186,0.9999999403953552,0.2125803679227829,-0.013598628342151642,0.0009906196501106024,8.285045623779297e-06,0.9999958872795105,1,0.04586760005836447
14,0.45211539715284216,1.0,0.486616849899292,0.9290993213653564,0.029602492228150368,0.20440834760665894,0.8919594287872314,-1,0.47116372464023193
15,0.16299024160531594,1.0,0.29327964782714844,0.5557502508163452,0.06583643704652786,0.026565909385681152,0.9866276383399963,-2,0.20233208830857863
16,-0.16403057897764817,1.0,0.3678126633167267,-0.4459622800350189,-0.04379061609506607,0.026906073093414307,0.9864552617073059,1,-0.1439802351392616
17,0.2065817803178944,0.9999999403953552,0.20839205384254456,0.9913131594657898,0.05245684087276459,0.04267585277557373,0.9784294366836548,1,0.22234895331394675
18,-0.017136958662078726,1.0,0.23923572897911072,-0.07163210213184357,-0.002020203974097967,0.0002936720848083496,0.9998531341552734,2,0.009022727654309485
19,-0.0035893479456105292,1.0,0.23642222583293915,-0.015181939117610455,-0.0003186209069099277,1.2934207916259766e-05,0.9999935030937195,2,0.02304341528763589
20,-0.3242415290400028,1.0000001192092896,0.09295456111431122,-3.488172769546509,0.06833512336015701,0.10513269901275635,0.9459742307662964,3,-0.25136099906857845
21,0.17234275208821714,1.0,0.09230121225118637,1.8671774864196777,0.011101748794317245,0.029702067375183105,0.9850370287895203,1,0.22030554282986084
22,0.25304999025070046,1.0,0.39709392189979553,0.6372547745704651,0.04225238040089607,0.06403422355651855,0.9674532413482666,-1,0.29653282691160116
23,-0.24801293733556876,1.0,0.21949917078018188,-1.129903793334961,-0.033781226724386215,0.061510443687438965,0.9687567353248596,3,-0.22610122124682405
24,-0.13442173228389562,0.9999999403953552,0.33697181940078735,-0.39891090989112854,-0.048385731875896454,0.018069207668304443,0.9909242391586304,-2,-0.01419218645751827
25,0.19516232319288487,1.0,0.28302592039108276,0.6895564198493958,0.025164471939206123,0.03808826208114624,0.980771005153656,-2,0.23471887464681487
26,0.20331241441554998,1.0,0.40392208099365234,0.5033456087112427,0.0031877646688371897,0.041335880756378174,0.9791139364242554,-3,0.28317760712848195
27,0.16879247821972204,1.0,0.25070932507514954,0.6732596755027771,0.030558517202734947,0.028490841388702393,0.9856516122817993,-1,0.251675909691058
28,0.3101552453671128,1.0,0.35432010889053345,0.875353217124939,-0.015263971872627735,0.09619635343551636,0.9506858587265015,-2,0.31439438927079816
29,0.26728524766038286,1.0,0.4914705157279968,0.5438479781150818,0.042208440601825714,0.07144135236740112,0.9636175036430359,-1,0.2700850754169856
30,0.12208550844680872,1.0,0.45097771286964417,0.2707129418849945,0.001293456181883812,0.014904975891113281,0.9925195574760437,-1,0.14096682211771794
31,-0.04880765542274372,1.0,0.24986523389816284,-0.19533592462539673,0.012662867084145546,0.0023821592330932617,0.9988082051277161,-3,0.08989266044935854
32,0.018679740785678335,1.0,0.2443608194589615,0.07644327729940414,-0.00012687013077083975,0.00034886598587036133,0.9998255372047424,-1,0.07113465755706755
33,-0.1262449302843701,0.9999999403953552,0.25779151916503906,-0.48971715569496155,0.032218433916568756,0.015937745571136475,0.9919991493225098,-3,-0.02703063022837878
34,0.22521709941151594,1.0,0.26676785945892334,0.8442438244819641,-0.015045903623104095,0.050722718238830566,0.9743086099624634,-3,0.29938062160458073
35,0.004371940797786524,1.0,0.40576839447021484,0.01077447272837162,0.0009760018438100815,1.913309097290039e-05,0.9999904036521912,3,0.05665356636189177
36,0.37276172651779016,1.0,0.4658951163291931,0.8000979423522949,0.02867085114121437,0.1389513611793518,0.9279270768165588,-3,0.3955531089499943
37,0.12396129531448795,1.0,0.3133610188961029,0.395586222410202,-0.03649784252047539,0.01536649465560913,0.9922869801521301,-3,0.20100131233318236
38,0.0,0.0,0.2902723550796509,0.0,0.0,1.0,0.0,-3,0.0
39,0.3368632084254285,1.0,0.38994649052619934,0.86387038230896,0.006091868504881859,0.11347675323486328,0.9415536522865295,-3,0.36960103716289977
40,0.16826427838173016,1.0,0.3386147916316986,0.4969194233417511,-0.005416371393948793,0.028312981128692627,0.9857418537139893,-3,0.21661229167159207
41,0.0,0.0,0.3431538939476013,0.0,0.0,1.0,0.0,-3,0.0
42,-0.015484278649684302,0.9999999403953552,0.2665819823741913,-0.05808449164032936,0.00046171669964678586,0.0002397298812866211,0.9998801350593567,-2,0.07402950999810233
43,-0.20114436635381047,1.0,0.39727717638015747,-0.5063074231147766,-0.053033988922834396,0.04045897722244263,0.9795616269111633,-3,-0.0893905074957796
44,-0.21982979572304548,1.0000001192092896,0.37638452649116516,-0.5840564370155334,-0.046279072761535645,0.048325300216674805,0.9755381345748901,3,-0.05399171854165237
45,0.23142694488790766,1.0,0.3625636398792267,0.6383070945739746,0.07593195140361786,0.053558349609375,0.972852349281311,3,0.27485269528681644
46,-0.0818013874849096,0.9999999403953552,0.4373207092285156,-0.18705125153064728,-0.012018367648124695,0.006691336631774902,0.9966487288475037,-1,-0.05432929821547467
47,0.11618109351265656,0.9999998807907104,0.3078891932964325,0.37734708189964294,0.014029151760041714,0.01349794864654541,0.9932281374931335,0,0.11618109351265656
48,0.0,0.0,0.2724367380142212,0.0,0.0,1.0,0.0,-3,0.0
49,-0.12872514802560478,1.0,0.3849627673625946,-0.33438336849212646,0.004445263184607029,0.016570210456848145,0.9916803240776062,2,-0.08584531715355011
50,-0.01013259433855455,0.9999999403953552,0.46371811628341675,-0.021850761026144028,-0.0028277537785470486,0.00010257959365844727,0.9999486804008484,-3,0.1184095139615821
51,-0.3126263275306239,1.0,0.4253721535205841,-0.7349477410316467,-0.10614955425262451,0.09773522615432739,0.9498761892318726,2,-0.24770276024344412
52,-0.2596415130683023,0.9999999403953552,0.37739065289497375,-0.6879913806915283,-0.08343151956796646,0.06741368770599365,0.9657050967216492,2,-0.2296453664883902
53,0.0,0.0,0.26010721921920776,0.0,0.0,1.0,0.0,-3,0.0
54,0.0,0.0,0.3294433355331421,0.0,0.0,1.0,0.0,-3,0.0
55,0.0038893245604746185,1.0,0.31558212637901306,0.012324286624789238,0.0006968475645408034,1.5079975128173828e-05,0.9999924302101135,-1,0.04480721050244634
56,0.2549974916495179,0.9999999403953552,0.29905688762664795,0.8526721596717834,-0.01425793208181858,0.06502372026443481,0.9669417142868042,-3,0.3211273318919886
57,0.10343075013922486,0.9999999403953552,0.14850670099258423,0.6964719295501709,-0.02447086200118065,0.01069796085357666,0.9946366548538208,3,0.2094437950144509
58,-0.4409175914570211,1.0,0.1905525177717209,-2.313890218734741,-0.21711960434913635,0.1944083571434021,0.8975475430488586,-3,-0.41590003072935994
59,0.33390359471689113,1.0,0.29500705003738403,1.1318495273590088,0.05195442587137222,0.11149168014526367,0.9426072835922241,-3,0.3737415519624159
60,0.02892314471886747,1.0,0.09271916002035141,0.31194356083869934,0.0017762216739356518,0.0008365511894226074,0.9995816349983215,3,0.10908044897339386
61,0.5315260235355734,1.0,0.3971165120601654,1.3384637832641602,0.11060435324907303,0.2825199365615845,0.8470419645309448,-3,0.5637584202820707
62,0.36913008023652544,1.0,0.34965112805366516,1.055709719657898,0.041804686188697815,0.13625705242156982,0.9293777346611023,-3,0.4331647856031096
