roi,r0,std_gt,std_rec,slope,intercept,R2,NRMSE,best_lag_TR,r_at_best_lag
0,0.4782621360150837,1.0,0.2437075823545456,1.9624426364898682,-0.04464031010866165,0.22873467206954956,0.8782171010971069,0,0.4782621360150837
1,0.3518392319289281,0.9999999403953552,0.1406129151582718,2.502182960510254,-0.07692689448595047,0.12379086017608643,0.9360604882240295,2,0.49285814905347297
2,-0.105649700703668,1.0,0.17250066995620728,-0.612459659576416,0.009759396314620972,0.01116180419921875,0.9944034218788147,3,0.37787891590095096
3,0.35882973633651005,1.0,0.22856099903583527,1.5699516534805298,-0.03674925118684769,0.12875878810882568,0.9334030151367188,0,0.35882973633651005
4,0.4782712272362051,1.0000001192092896,0.20106923580169678,2.3786396980285645,-0.03300070762634277,0.22874343395233154,0.8782121539115906,-2,0.555813097137306
5,0.022596490565212082,0.9999999403953552,0.20440378785133362,0.11054829508066177,-0.002721648197621107,0.0005106925964355469,0.9997445940971375,-3,0.6319843124378426
6,-0.038671252914076894,1.0,0.12954820692539215,-0.29850858449935913,0.002807322656735778,0.0014954805374145508,0.9992519617080688,-2,0.4078082012674924
7,0.11467097064853406,0.9999998211860657,0.20515185594558716,0.558956503868103,-0.013145258650183678,0.013149261474609375,0.9934036135673523,-1,0.36433937229159297
8,0.02638491121763762,1.0000001192092896,0.1843097060918808,0.1431552916765213,-0.004028704948723316,0.0006963014602661133,0.9996517896652222,3,0.2545959678517211
9,0.36579098412448463,0.9999999403953552,0.08894471824169159,4.112565517425537,-0.10942085832357407,0.13380300998687744,0.9306970834732056,-2,0.47006098719424744
10,-0.261337859669509,0.9999999403953552,0.09311536699533463,-2.806603193283081,0.0808429941534996,0.0682973861694336,0.9652474522590637,2,0.3549086568107649
11,-0.12974159255892148,1.0000001192092896,0.07416081428527832,-1.7494630813598633,-0.00036485985037870705,0.016832947731018066,0.9915478229522705,2,0.47622145234391616
12,-0.14895326907503287,1.0,0.14967870712280273,-0.9951533675193787,0.013823986984789371,0.02218693494796753,0.9888443350791931,-1,0.37089698507959235
13,0.2700359083990302,1.0,0.11507797241210938,2.3465473651885986,-0.022301482036709785,0.07291936874389648,0.9628503322601318,0,0.2700359083990302
14,0.31371323170302085,1.0,0.1982012391090393,1.5828014612197876,0.0006325679714791477,0.09841597080230713,0.9495177865028381,0,0.31371323170302085
15,0.33846710756153675,1.0,0.1194850355386734,2.8327157497406006,-0.03831236809492111,0.11455994844436646,0.9409782886505127,1,0.45313729286675064
16,0.49192506848571466,1.0,0.14418074488639832,3.4118635654449463,-0.09280362725257874,0.24199026823043823,0.8706375360488892,0,0.49192506848571466
17,0.038043729524573335,0.9999999403953552,0.11198750138282776,0.33971405029296875,-0.0037644586991518736,0.0014472007751464844,0.9992761611938477,2,0.2545694138239233
18,-0.06526575021872233,1.0,0.1112782433629036,-0.5865094661712646,-0.0022093497682362795,0.004259705543518066,0.9978678822517395,-3,0.24697103000380594
19,-0.007662112407784086,1.0,0.12468140572309494,-0.061453528702259064,-1.1682260264933575e-05,5.8650970458984375e-05,0.9999706745147705,-2,0.4895153164396445
20,-0.15330723544138536,1.0000001192092896,0.08639083057641983,-1.7745777368545532,0.021867401897907257,0.02350330352783203,0.9881784319877625,2,0.30293046619798786
21,0.08589673723512535,0.9999999403953552,0.09549690783023834,0.8994713425636292,0.004020608030259609,0.007378280162811279,0.9963040351867676,-1,0.7466096081977585
22,0.14832079820609154,1.0,0.1271728277206421,1.1662931442260742,-0.04453118145465851,0.02199918031692505,0.9889392852783203,2,0.3615422365481797
23,0.1995613826283646,1.0,0.12353374063968658,1.6154403686523438,-0.008026746101677418,0.039824843406677246,0.9798852801322937,2,0.20885068701389814
24,-0.22942555128845338,0.9999999403953552,0.12578259408473969,-1.8239848613739014,0.03986070677638054,0.052636027336120605,0.9733262658119202,2,0.14896940824340743
25,0.31844710658660047,1.0,0.14022211730480194,2.2710189819335938,0.022766023874282837,0.10140860080718994,0.9479405879974365,0,0.31844710658660047
26,0.22588960118742876,1.0,0.1722353845834732,1.3115167617797852,-0.032733429223299026,0.051026225090026855,0.9741528630256653,-3,0.3642152051577764
27,-0.43365998820704404,1.0,0.11897118389606476,-3.6450839042663574,0.06897644698619843,0.1880609393119812,0.90107661485672,-3,0.3095320089380791
28,-0.22851240656160027,1.0,0.1695873737335205,-1.347461223602295,0.02434503100812435,0.052217841148376465,0.9735410213470459,2,0.4551190827455717
29,0.16850228963287478,1.0,0.18862409889698029,0.8933231830596924,0.0010680659906938672,0.0283929705619812,0.9857012629508972,-1,0.5228292381948271
30,0.5595205104558534,1.0,0.19139590859413147,2.9233670234680176,-0.07396944612264633,0.31306320428848267,0.8288164734840393,0,0.5595205104558534
31,0.5776523637759433,0.9999999403953552,0.11939067393541336,4.8383378982543945,0.03270049765706062,0.333682119846344,0.8162829875946045,0,0.5776523637759433
32,0.3621887352350109,1.0,0.12047826498746872,3.0062577724456787,-0.01380180474370718,0.13118064403533936,0.9321048259735107,2,0.37527052116195214
33,0.5769561478338558,1.0,0.10043513029813766,5.744565010070801,0.03865971788764,0.3328784108161926,0.8167751431465149,0,0.5769561478338558
